Cloning into '/kaggle/working/EXXA'...
Updating files: 100% (5081/5081), done.

cwd: /kaggle/working/EXXA/DENOISING_DIFFUSION/notebooks | DATA_DIR: /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data

From https://github.com/KrishanYadav333/EXXA
 * branch            line-emission -> FETCH_HEAD

HEAD is now at 09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
09bfcb9 move: relocate DDPM notebook to repo root, out of notebooks/ subfolder
src.* cleared from module cache ├óΓé¼ΓÇ¥ now re-run the imports cell below.

device: cuda | GPUs: 2 -> ['Tesla T4', 'Tesla T4']

======================================================================
CUBE-LEVEL SPLIT (grouped by RunID — no channel-level leakage)
======================================================================
  data_dir          : /kaggle/input/datasets/krishanyadav333/line-emission-data/Line Emission Data
  total cubes       : 14  across 11 distinct RunIDs
  seed=42  n_holdout=3  val_fraction=0.2
----------------------------------------------------------------------
  TRAIN   :  7 cubes | RunIDs ['0006', '0010', '0020', '0022', '0030', '0035']
  VAL     :  2 cubes | RunIDs ['0016', '0036']
  HOLDOUT :  5 cubes | RunIDs ['0002', '0025', '0026']  <-- inference only, NEVER trained/validated
----------------------------------------------------------------------
  HOLDOUT cube folders (reserved for moment-map evaluation):
    - run_0002_00560_rt_00
    - run_0002_00560_rt_01
    - run_0002_00560_rt_04
    - run_0025_01000_rt_04
    - run_0026_00005_rt_04
======================================================================

[FITSChannelDataset] 7 cubes x ~50 channels = 350 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
[FITSChannelDataset] 2 cubes x ~50 channels = 100 items | target 256x256 | continuum-subtracted (mean of first/last 5 channels)
train items: 350 | val items: 100

per-cube beam vectors [sin2BPA, cos2BPA, bmaj", bmin"]:
  run_0006_00170_rt_00         [-0.35688, 0.93415, 0.16325, 0.14323]
  run_0010_00125_rt_01         [-0.88444, -0.46665, 0.178, 0.11162]
  run_0010_00125_rt_02         [0.99896, 0.04559, 0.10449, 0.09915]
  run_0020_01000_rt_02         [-0.45252, -0.89175, 0.14064, 0.10718]
  run_0022_00155_rt_03         [0.99906, 0.04339, 0.13931, 0.13261]
  run_0030_00015_rt_00         [-0.99632, 0.08566, 0.1538, 0.12479]
  run_0035_00025_rt_01         [0.78691, 0.61707, 0.15059, 0.14761]

=== control (no beam) ===
  ep   1 | train 0.2116 | val 0.0537 | lr 1.0e-03 (19s) *best
  ep  32 | train 0.0040 | val 0.0058 | lr 2.6e-04 (9s)
  ep  33 | train 0.0042 | val 0.0058 | lr 2.6e-04 (9s)
  ep  34 | train 0.0040 | val 0.0053 | lr 2.6e-04 (9s) *best
  ep  35 | train 0.0037 | val 0.0057 | lr 2.6e-04 (9s)
  ep  36 | train 0.0036 | val 0.0049 | lr 2.6e-04 (9s) *best
  ep  37 | train 0.0034 | val 0.0047 | lr 2.6e-04 (9s) *best
  ep  38 | train 0.0035 | val 0.0052 | lr 2.6e-04 (9s)
  ep  39 | train 0.0034 | val 0.0046 | lr 2.6e-04 (9s) *best
  ep  40 | train 0.0032 | val 0.0043 | lr 2.6e-04 (9s) *best
  ep  41 | train 0.0031 | val 0.0041 | lr 2.6e-04 (9s) *best
  ep  42 | train 0.0030 | val 0.0042 | lr 2.6e-04 (9s)
  ep  43 | train 0.0028 | val 0.0040 | lr 2.6e-04 (9s) *best
  ep  44 | train 0.0028 | val 0.0042 | lr 2.6e-04 (9s)
  ep  45 | train 0.0029 | val 0.0040 | lr 2.6e-04 (9s)
  ep  46 | train 0.0030 | val 0.0043 | lr 2.6e-04 (9s)
  ep  47 | train 0.0028 | val 0.0037 | lr 2.6e-04 (9s) *best
  ep  48 | train 0.0026 | val 0.0035 | lr 2.6e-04 (9s) *best
  ep  49 | train 0.0025 | val 0.0038 | lr 2.6e-04 (9s)
  ep  50 | train 0.0025 | val 0.0035 | lr 2.6e-04 (9s) *best
  ep  51 | train 0.0024 | val 0.0034 | lr 2.6e-04 (9s) *best
  ep  52 | train 0.0024 | val 0.0033 | lr 2.6e-04 (9s) *best
  ep  53 | train 0.0024 | val 0.0035 | lr 2.6e-04 (9s)
  ep  54 | train 0.0024 | val 0.0035 | lr 2.6e-04 (9s)
  ep  55 | train 0.0023 | val 0.0036 | lr 2.6e-04 (9s)
  ep  56 | train 0.0023 | val 0.0032 | lr 2.6e-04 (9s) *best
  ep  57 | train 0.0022 | val 0.0035 | lr 2.6e-04 (9s)
  ep  58 | train 0.0022 | val 0.0030 | lr 2.6e-04 (9s) *best
  ep  59 | train 0.0023 | val 0.0034 | lr 2.6e-04 (9s)
  ep  60 | train 0.0023 | val 0.0033 | lr 2.6e-04 (9s)

=== sweep run 11/12: {'base_channels': 48, 'channel_multipliers': (1, 2, 2, 4), 'lr': 0.00020392350550058275, 'alpha': 0.620140019922101, 'sched_patience': 8, 'use_beam': False} ===
  ep   1 | train 0.4235 | val 0.3453 | lr 2.0e-04 (23s) *best
  ep   2 | train 0.1460 | val 0.0759 | lr 2.0e-04 (23s) *best
  ep   3 | train 0.0431 | val 0.0367 | lr 2.0e-04 (23s) *best
  ep   4 | train 0.0265 | val 0.0283 | lr 2.0e-04 (23s) *best
  ep   5 | train 0.0170 | val 0.0155 | lr 2.0e-04 (23s) *best
  ep   6 | train 0.0132 | val 0.0146 | lr 2.0e-04 (23s) *best
  ep   7 | train 0.0126 | val 0.0149 | lr 2.0e-04 (23s)
  ep   8 | train 0.0122 | val 0.0118 | lr 2.0e-04 (23s) *best
  ep   9 | train 0.0106 | val 0.0118 | lr 2.0e-04 (23s) *best
  ep  10 | train 0.0092 | val 0.0104 | lr 2.0e-04 (23s) *best
  ep  11 | train 0.0089 | val 0.0112 | lr 2.0e-04 (23s)
  ep  12 | train 0.0100 | val 0.0115 | lr 2.0e-04 (23s)
  ep  13 | train 0.0098 | val 0.0119 | lr 2.0e-04 (23s)
  ep  14 | train 0.0095 | val 0.0093 | lr 2.0e-04 (23s) *best
  ep  15 | train 0.0091 | val 0.0123 | lr 2.0e-04 (23s)
  ep  16 | train 0.0097 | val 0.0108 | lr 2.0e-04 (23s)
  ep  17 | train 0.0082 | val 0.0088 | lr 2.0e-04 (23s) *best
  ep  18 | train 0.0070 | val 0.0088 | lr 2.0e-04 (23s) *best
  ep  19 | train 0.0068 | val 0.0085 | lr 2.0e-04 (23s) *best
  ep  20 | train 0.0066 | val 0.0080 | lr 2.0e-04 (23s) *best
  ep  21 | train 0.0062 | val 0.0079 | lr 2.0e-04 (23s) *best
  ep  22 | train 0.0060 | val 0.0077 | lr 2.0e-04 (23s) *best
  ep  23 | train 0.0057 | val 0.0077 | lr 2.0e-04 (23s) *best
  ep  24 | train 0.0056 | val 0.0071 | lr 2.0e-04 (23s) *best
  ep  25 | train 0.0054 | val 0.0076 | lr 2.0e-04 (23s)
  ep  26 | train 0.0055 | val 0.0067 | lr 2.0e-04 (23s) *best
  ep  27 | train 0.0051 | val 0.0075 | lr 2.0e-04 (23s)
  ep  28 | train 0.0049 | val 0.0069 | lr 2.0e-04 (23s)
  ep  29 | train 0.0050 | val 0.0060 | lr 2.0e-04 (23s) *best
  ep  30 | train 0.0049 | val 0.0062 | lr 2.0e-04 (23s)
  ep  31 | train 0.0047 | val 0.0061 | lr 2.0e-04 (23s)
  ep  32 | train 0.0044 | val 0.0056 | lr 2.0e-04 (23s) *best
  ep  33 | train 0.0042 | val 0.0054 | lr 2.0e-04 (23s) *best
  ep  34 | train 0.0040 | val 0.0055 | lr 2.0e-04 (23s)
  ep  35 | train 0.0041 | val 0.0060 | lr 2.0e-04 (23s)
  ep  36 | train 0.0041 | val 0.0054 | lr 2.0e-04 (23s)
  ep  37 | train 0.0040 | val 0.0051 | lr 2.0e-04 (23s) *best
  ep  38 | train 0.0037 | val 0.0051 | lr 2.0e-04 (23s) *best
  ep  39 | train 0.0036 | val 0.0051 | lr 2.0e-04 (23s) *best
  ep  40 | train 0.0035 | val 0.0050 | lr 2.0e-04 (23s) *best
  ep  41 | train 0.0035 | val 0.0049 | lr 2.0e-04 (23s) *best
  ep  42 | train 0.0035 | val 0.0053 | lr 2.0e-04 (23s)
  ep  43 | train 0.0035 | val 0.0046 | lr 2.0e-04 (23s) *best
  ep  44 | train 0.0034 | val 0.0047 | lr 2.0e-04 (23s)
  ep  45 | train 0.0034 | val 0.0046 | lr 2.0e-04 (23s) *best
  ep  46 | train 0.0034 | val 0.0045 | lr 2.0e-04 (23s) *best
  ep  47 | train 0.0032 | val 0.0048 | lr 2.0e-04 (23s)
  ep  48 | train 0.0034 | val 0.0047 | lr 2.0e-04 (23s)
  ep  49 | train 0.0033 | val 0.0042 | lr 2.0e-04 (23s) *best
  ep  50 | train 0.0032 | val 0.0044 | lr 2.0e-04 (23s)
  ep  51 | train 0.0032 | val 0.0042 | lr 2.0e-04 (23s)
  ep  52 | train 0.0030 | val 0.0039 | lr 2.0e-04 (23s) *best
  ep  53 | train 0.0029 | val 0.0041 | lr 2.0e-04 (23s)
  ep  54 | train 0.0029 | val 0.0044 | lr 2.0e-04 (23s)
  ep  55 | train 0.0030 | val 0.0040 | lr 2.0e-04 (23s)
  ep  56 | train 0.0030 | val 0.0043 | lr 2.0e-04 (24s)
  ep  57 | train 0.0029 | val 0.0040 | lr 2.0e-04 (23s)
  early stop at epoch 57 (no improvement for 5 epochs)

=== sweep run 12/12: {'base_channels': 32, 'channel_multipliers': (1, 2, 4, 8), 'lr': 0.0011940119975203114, 'alpha': 0.5735311221928677, 'sched_patience': 5, 'use_beam': True} ===
  ep   1 | train 0.2240 | val 0.0580 | lr 1.2e-03 (17s) *best
  ep   2 | train 0.0417 | val 0.0386 | lr 1.2e-03 (17s) *best
  ep   3 | train 0.0316 | val 0.0264 | lr 1.2e-03 (17s) *best
  ep   4 | train 0.0236 | val 0.0246 | lr 1.2e-03 (17s) *best
  ep   5 | train 0.0224 | val 0.0240 | lr 1.2e-03 (17s) *best
  ep   6 | train 0.0164 | val 0.0182 | lr 1.2e-03 (17s) *best
  ep   7 | train 0.0173 | val 0.0186 | lr 1.2e-03 (17s)
  ep   8 | train 0.0173 | val 0.0170 | lr 1.2e-03 (18s) *best
  ep   9 | train 0.0147 | val 0.0169 | lr 1.2e-03 (17s) *best
  ep  10 | train 0.0135 | val 0.0149 | lr 1.2e-03 (17s) *best
  ep  11 | train 0.0136 | val 0.0170 | lr 1.2e-03 (17s)
  ep  12 | train 0.0121 | val 0.0137 | lr 1.2e-03 (18s) *best
  ep  13 | train 0.0105 | val 0.0108 | lr 1.2e-03 (18s) *best
  ep  14 | train 0.0096 | val 0.0114 | lr 1.2e-03 (18s)
  ep  15 | train 0.0094 | val 0.0111 | lr 1.2e-03 (18s)
  ep  16 | train 0.0090 | val 0.0119 | lr 1.2e-03 (17s)
  ep  17 | train 0.0171 | val 0.0165 | lr 1.2e-03 (17s)
  ep  18 | train 0.0153 | val 0.0165 | lr 1.2e-03 (17s)
  early stop at epoch 18 (no improvement for 5 epochs)

Sweep done: 12/12 runs OK. Best PSNR 37.109 dB -> ../results/sweep_results.csv

12 completed runs

top 5 by PSNR:
 base_channels channel_multipliers       lr    alpha  use_beam  best_epoch      psnr     ssim      mse
            48             1x2x4x8 0.000820 0.887768     False          33 37.109199 0.990209 0.000290
            64             1x2x2x4 0.000257 0.596891     False          36 36.458998 0.991366 0.000299
            16               1x2x4 0.000948 0.847881     False          60 36.005587 0.989959 0.000377
            32             1x2x2x4 0.000742 0.864244     False          43 35.559308 0.988567 0.000428
            48             1x2x2x4 0.000204 0.620140     False          52 35.339533 0.990384 0.000388

V12 baseline PSNR: 32.95 dB

correlation with PSNR (|r| ~ importance):
  log10(lr)      r = -0.116
  alpha          r = +0.622
  base_channels  r = +0.430
  use_beam       r = -0.327

next (per Jason): if a param stands out, seed a Bayesian sweep with these runs

persisted -> /kaggle/working/unet_line_emission_beam_best.pth (13.8 MB)
persisted -> /kaggle/working/unet_line_emission_ctrl_best.pth (13.8 MB)
persisted -> /kaggle/working/sweep_results.csv (0.0 MB)
persisted -> /kaggle/working/moment_map_holdout_summary_beam.csv (0.0 MB)
